"Date","Operator","AC_Type","Location","Fatalities","Registration"
"Aug 6, 1998","Rhodes Aviation","Cessna 421 Golden Eagle","Columbus, Indiana",0,"N5MJ"
"Aug 5, 1998","","Boeing 747-400","Seoul, Seoul (서울)",0,"HL7496"
"Aug 4, 1998","","De Havilland DHC-2 Beaver","Kincolith, British Columbia",5,"C-FOCJ"
"Aug 4, 1998","Eagle Flight Center","Socata TBM-700","South Dakota, South Dakota",4,"N69BS"
"Aug 2, 1998","Afghan Taliban Forces","Antonov AN-32","Kunduz, Kunduz",5,"-"
"Jul 30, 1998","","Beechcraft 1900D","Vannes, Morbihan",14,"F-GSJM"
"Jul 30, 1998","","Dornier DO228","Cochin, Kerala",9,"VT-EJW"
"Jul 29, 1998","Selva Táxi Aéreo","Embraer EMB-110 Bandeirante","Manaus, Amazonas",12,"PT-LGN"
"Jul 27, 1998","Plane Sailing Air Displays","Consolidated PBY-5A Catalina","Southampton, Hampshire",4,"VP-BPS"
"Jul 28, 1998","","Swearingen SA227 Metro III","Barcelona, Catalonia",2,"EC-FXD"
"Jul 26, 1998","Legion Express","Fairchild-Hiller FH-227","Keflavik, Southern Peninsula (Suðurnes)",0,"N564LE"
"Jul 24, 1998","","Cessna 500 Citation","Rawlins, Wyoming",0,"C-FSKC"
"Jul 23, 1998","Norilsk Avia","Antonov AN-12","Saint Petersburg, Leningrad oblast",0,"RA-11886"
"Jul 23, 1998","","Short SC.7 Skyvan Variant","Mexico, All Mexico",4,"TP-214"
"Jul 20, 1998","Fitzroy Aviation Queensland","Partenavia P.68","Wagga Wagga, New South Wales",2,"VH-IXH"
"Jul 19, 1998","","Boeing 737-200","Khartoum, Khartoum (الخرطوم)",0,"ST-AFL"
"Jul 18, 1998","Executive Aircraft Group","Rockwell Sabreliner 75","Newton, Kansas",2,"N547JL"
"Jul 17, 1998","","Ilyushin II-78","Asmara, Maekel",10,"UR-UCI"
"Jul 17, 1998","","Piper PA-31-350 Navajo Chieftain","Miami, Florida",1,"N7578L"
"Jul 16, 1998","Alas del Sur","Rockwell Sabreliner 60","Córdoba, Córdoba",3,"LV-WPO"
"Jul 13, 1998","","Ilyushin II-76","Ras al-Khaimah, Ras al-Khaimah (رأس الخيمة‎)",8,"UR-76424"
"Jul 8, 1998","","PZL-Mielec AN-2","Yakutsk, Republic of Yakutia (Sakha)",1,"RA-02823"
"Jul 7, 1998","","Swearingen SA226T Merlin","Saint George, Alaska",2,"N501FS"
"Jun 30, 1998","","Avro 748","Navegantes, Santa Catarina",0,"2509"
"Jun 27, 1998","Air Parabat","Let 410UVP","Dhaka, Dhaka",0,"S2-ADD"
"Jun 27, 1998","","Lockheed P-2 Neptune","Reserve, New Mexico",2,"N14835"
"Jun 26, 1998","Fedair - Federal Air","Beechcraft 200 Super King Air","Abidjan, Lagunes",8,"ZS-MSL"
"Jun 18, 1998","","Swearingen SA226 Metro II","Montreal, Quebec",11,"C-GQAL"
"Jun 16, 1998","","Rockwell Aero Commander 680","Helena, Arkansas",1,"N446JR"
"Jun 12, 1998","Rif Air","Piper PA-31-350 Navajo Chieftain","Guernsey, Channel Islands",1,"CN-TFP"
"Jun 5, 1998","Two Engines and a Prayer","Beechcraft 80 Queen Air","North Myrtle Beach, South Carolina",0,"N241AB"
"Jun 3, 1998","Air Tango","Swearingen SA227 Metro III","Santa Fe, Santa Fe",0,"LV-WIL"
"Jun 2, 1998","","PZL-Mielec AN-2","Iran, All Iran",1,"SP-WNF"
"Jun 1, 1998","","Cessna 421 Golden Eagle","Little Falls, New York",1,"N541N"
"Jun 1, 1998","Trans Florida Airlines","Convair CV-240","Aguadilla, All Puerto Rico",0,"N87949"
"May 28, 1998","Silverhawk Security Specialities","Cessna 414 Chancellor","North Platte, Nebraska",0,"N888AA"
"May 26, 1998","","Pilatus PC-12","Brno, Moravian-Silesian Region (Moravskoslezský kraj)",2,"HB-FOJ"
"May 25, 1998","","Yakovlev Yak-40","Xieng Khouang, Xieng Khouang Province",26,"RDPL-34001"
"May 25, 1998","World Geoscience Corporation","Cessna 404 Titan","Nkayi, Matabeleland North",0,"VH-WGH"
"May 25, 1998","","Harbin Yunsunji Y-12","Erdenet, Orkhon",28,"JU-1017"
"May 24, 1998","Majestic Air Cargo","Douglas C-47 Skytrain (DC-3)","Anchorage, Alaska",0,"N67588"
"May 20, 1998","Bahia Taxi Aéreo - BATA","Embraer EMB-820 Navajo","Guanambi, Bahia",2,"PT-ENP"
"May 19, 1998","","Piper PA-31 Cheyenne","Great Falls, Montana",2,"N121BE"
"May 18, 1998","V. Kelner Airways","Pilatus PC-12","Clarenville, Newfoundland & Labrador",0,"C-FKAL"
"May 16, 1998","","Fokker F28 Fellowship","Singapore, All Singapore",0,"PK-VFY"
"May 15, 1998","","Fokker F28 Fellowship","Kendari, South Sulawesi",0,"PK-MGT"
"May 14, 1998","Baker Aviation","Cessna 208 Caravan","Nome, Alaska",0,"N192AV"
"May 14, 1998","Avionair","Piper PA-31-350 Navajo Chieftain","La Grande, Quebec",0,"C-GUVK"
"May 12, 1998","Mauritanian Air Force - Force Aérienne Islamique de Mauritanie","Xian Yunsunji Y-7-100","Néma, Hodh Ech Chargui",39,"5T-MAG"
"May 11, 1998","Quinn Industries","Cessna 421 Golden Eagle","Nassau, New Providence",0,"N17BN"
"May 11, 1998","Tyumen Airlines - Tyumenskie Avialinii","Antonov AN-12","Luanda, Luanda",0,"RA-12973"
"May 9, 1998","Rentair","Cessna 414 Chancellor","Santa Cruz de Tenerife, Canary Islands",2,"EC-CVV"
"May 7, 1998","Gama Air","Antonov AN-32","Vaalwater, Limpopo",0,"3D-DRV"
"May 8, 1998","","Embraer EMB-110 Bandeirante","Rio de Janeiro, Rio de Janeiro",4,"2322"
"May 5, 1998","","Boeing 737-200","Andoas, Loreto",75,"FAP351"
"May 4, 1998","Speed Air","Cessna 421 Golden Eagle","Johannesburg, Gauteng",0,"ZS-JRR"
"May 1, 1998","Société Soon","Beechcraft 90 King Air","Alençon, Orne",2,"F-GABV"
"Apr 23, 1998","SAFT Gabon - Société Anonyme de Fret et de Transport","Short 330","Lopé National Park, Ogooué-Ivindo (Makokou)",0,"TR-LEH"
"Apr 23, 1998","","Embraer EMB-110 Bandeirante","Resende, Rio de Janeiro",3,"2321"
"Apr 20, 1998","","Boeing 727-200","Bogotá, Bogotá Capital District",53,"HC-BSU"
"Apr 12, 1998","Orient Eagle Airways","Boeing 737-200","Almaty, Almaty Province",0,"P4-NEN"
"Apr 10, 1998","","Cessna 421 Golden Eagle","Nice, Alpes-Maritimes",4,"D-IALE"
"Apr 9, 1998","","Rockwell Grand Commander 680","Greenland, All Greenland",1,"4X-CCS"
"Apr 8, 1998","Phillips Air Service","Beechcraft E18","Del Rio, Texas",0,"N2083C"
"Apr 7, 1998","","Cessna 208 Caravan","Bismarck, North Dakota",1,"N868FE"
"Apr 6, 1998","","Cessna 421 Golden Eagle","Hamburg, Hamburg",1,"D-ICBK"
"Apr 4, 1998","Alpha Wolfs Enterprises","Cessna 525 CJ1","Marietta, Georgia",4,"N111LR"
"Apr 3, 1998","Dove One","Cessna 402","West Palm Beach, Florida",0,"N400AR"
"Mar 31, 1998","Linea Aérea Mexicana de Carga","Convair CV-240","Mexico City, Federal District of Mexico City",2,"XA-TAP"
"Mar 30, 1998","","Avro 748","Stansted, Essex",0,"G-OJEM"
"Mar 29, 1998","","Antonov AN-32","Piura, Piura",28,"FAP375/OB-1389"
"Mar 23, 1998","Mision Nuevas Tribas","Cessna 207 Skywagon/Stationair","Toqui, Amazonas",5,"YV-2557P"
"Mar 22, 1998","","Airbus A320","Bacolod, Negros Occidental",3,"RP-C3222"
"Mar 22, 1998","Arapahoe Aviation","Piper PA-31-350 Navajo Chieftain","Southport, North Carolina",0,"N715PM"
"Mar 20, 1998","Banco Republica de Uruguay","Piper PA-42 Cheyenne","Treinta y Tres, Treinta y Tres",0,"CX-ROU"
"Mar 19, 1998","","Boeing 727-200","Kabul, Kabul",45,"YA-FAZ"
"Mar 18, 1998","","Saab 340","Hsinchu, Hsinchu City (新竹市)",13,"B-12255"
"Mar 13, 1998","","Socata TBM-700","Truckee, California",0,"N345RD"
"Mar 12, 1998","","Casa 212 Aviocar","Valladolid, Castile and León",3,"XT.12B-2"
"Mar 12, 1998","","Antonov AN-8","Mogadishu, Banaadir (بنادر‎)",0,"EL-ALE"
"Mar 10, 1998","","Boeing 707","Mombasa, Coast",6,"SU-PBA"
"Mar 7, 1998","Aerolineas Sosa","Let 410UVP","La Ceiba, Atlántida",0,"HR-AQG"
"Mar 5, 1998","","Piper PA-31-350 Navajo Chieftain","Novato, California",1,"N257NW"
"Mar 5, 1998","","Cessna 208 Caravan","Clarksville, Tennessee",1,"N840FE"
"Mar 3, 1998","","Embraer EMB-110 Bandeirante","Hoskins, West New Britain",0,"P2-ALY"
"Mar 2, 1998","","Cessna 303 Crusader","Midvale, Idaho",6,"N727RT"
"Mar 2, 1998","Aerochaitén","Cessna 401","Chaitén, Región de Los Lagos",5,"CC-CIX"
"Mar 1, 1998","Bird Air Fleet","Piper PA-31-350 Navajo Chieftain","Presque Isle, Maine",2,"N777HM"
"Feb 23, 1998","","Boeing 737-200","Kaduna, Kaduna",0,"YU-ANU"
"Feb 19, 1998","","Swearingen SA226 Metro II","Barcelona, Catalonia",2,"EC-GDG"
"Feb 19, 1998","Skyways - Kenya","Grumman G-159 Gulfstream I","Mogadishu, Banaadir (بنادر‎)",0,"5Y-BMR"
"Feb 16, 1998","University of West Virginia","Beechcraft 90 King Air","Charleston, West Virginia",2,"N5WU"
"Feb 16, 1998","","Airbus A300-600","Taipei, Taipei City (臺北市)",203,"B-1814"
"Feb 13, 1998","Heading South","Pilatus PC-12","Nairobi, Nairobi City District",9,"ZS-OFC"
"Feb 12, 1998","","Antonov AN-32","Nasir, Upper Nile (أعالي النيل)",27,"7744"
"Feb 11, 1998","","Embraer ERJ-145","Beaumont, Texas",0,"N14931"
"Feb 11, 1998","","Junkers JU.52","Samedan, Graubünden",0,"HB-HOS"
"Feb 9, 1998","","Boeing 727-200","Chicago, Illinois",0,"N845AA"
"Feb 9, 1998","","Short 360","Stornoway, Hebrides Islands",0,"G-BLGB"
"Feb 6, 1998","Pegasus Aviation","Gulfstream GIII","Chambéry-Aix-les-Bains, Savoie",0,"VP-BLN"
"Feb 6, 1998","","Cessna 207 Skywagon/Stationair","Homer, Alaska",1,"N91029"
"Feb 5, 1998","","Casa 212 Aviocar","Spain, All Spain",5,"D.3B-9"
"Feb 4, 1998","","Antonov AN-12","Lajes, Azores Islands",7,"LZ-SFG"
"Feb 3, 1998","Missionary Flights International","Douglas DC-3","George Town, Exuma",0,"N200MF"
"Feb 3, 1998","","Cessna 207 Skywagon/Stationair","Arusha, Arusha Region",5,"5H-PAT"
"Feb 2, 1998","","Douglas DC-9","Cagayán de Oro, Misamis Oriental",104,"RP-C1507"
"Feb 2, 1998","Steel Authority of India","Beechcraft 90 King Air","Bhilai Nagar, Chhattisgarh",6,"VT-ELZ"
"Jan 31, 1998","Sicotra Aviation","Pilatus PC-6 (Porter & Turbo Porter)","Durba, Orientale",0,"9Q-CZG"
"Jan 30, 1998","","Cessna 208 Caravan","Port Heiden, Alaska",0,"N9316F"
"Jan 27, 1998","","Fokker F27 Friendship","Sandoway, Rakhine State",16,"XY-AES"
"Jan 22, 1998","Global Air Services","Beechcraft 90 King Air","Selmer, Tennessee",0,"N911KA"
"Jan 22, 1998","","Cessna 208 Caravan","Edmonton, Alberta",0,"C-FAFV"
"Jan 21, 1998","Airplanes of Boca","Rockwell Grand Commander 690","Boca Raton, Florida",3,"N269M"
"Jan 20, 1998","","ATR42-300","Alghero, Sardinia",0,"EI-COC"
"Jan 20, 1998","Alberta Citylink","BAe Jetstream 31","Lloydminster, Alberta",0,"C-FBIE"
"Jan 20, 1998","","Piper PA-31-350 Navajo Chieftain","Northwest Territories, Northwest Territories",0,"C-FDNF"
"Jan 17, 1998","","Cessna 402","Walker, California",1,"N114GP"
"Jan 15, 1998","Airco Aircraft Charters","Piper PA-31-350 Navajo Chieftain","Rainbow Lake, Alberta",0,"C-FZBW"
"Jan 15, 1998","","Fokker 100","Isfahan, Isfahan",0,"EP-IDC"
"Jan 13, 1998","American Corporate Aviation","Learjet 25","Houston, Texas",2,"N627WS"
"Jan 13, 1998","","Antonov AN-32","Pakistan, All Pakistan",51,"YA-BAH"
"Jan 13, 1998","Aeroservice International","Let 410UVP","Brno, Moravian-Silesian Region (Moravskoslezský kraj)",2,"YV-928CP"
"Jan 11, 1998","","Avro RJ100","Samsun, Black Sea Region (Karadeniz Bölgesi)",0,"TC-THF"
"Jan 10, 1998","MGS Corporation","Rockwell Aero Commander 500","Ennis, Texas",2,"N556BW"
"Jan 9, 1998","","Piper PA-31 Cheyenne","Manila, Metro Manila",0,"N4111M"
"Jan 9, 1998","","Cessna 208 Caravan","Maiden, North Carolina",1,"N913FE"
"Jan 6, 1998","US Motorsports","Cessna 500 Citation","Pittsburgh, Pennsylvania",0,"N1DK"
"Jan 2, 1998","Woods Air Service - Woods Air Fuel","Douglas DC-6","Nixon Fork Mine, Alaska",0,"N861TA"
"Jan 2, 1998","Aerodinamo del Pacifico","Learjet 24","Tampico, Tamaulipas",3,"XA-RRK"
"Dec 31, 1997","","Swearingen SA227 Metro III","Trinidad, Beni",0,"CP-2321"
"Dec 31, 1997","","Fokker F27 Friendship","Philippines, All Philippines",0,"10210"
"Dec 31, 1997","Air Force of Zimbabwe","Casa 212 Aviocar","Harare, Harare Province",0,"801"
"Dec 31, 1997","","Antonov AN-26","Gogrial, Warrap (واراب)",0,"7711"
"Dec 31, 1997","Parsa","Britten-Norman Islander","Rio Sidra, Guna Yala",10,"HP-986PS"
"Dec 30, 1997","Sioux Falls Aviation","Cessna 402","Watertown, South Dakota",1,"N5087Q"
"Dec 30, 1997","PVS International","Mitsubishi MU-2 Marquise","Chicago, Illinois",2,"N999WB"
"Dec 29, 1997","Valley Forge Manufacturing Corporation","Cessna 414 Chancellor","Georgia, Georgia",2,"N414MT"
"Dec 28, 1997","Golden Eagle Aviation - USA","Cessna 421 Golden Eagle","Elkins, West Virginia",0,"N1348T"
"Dec 23, 1997","","Fokker F27 Friendship","Bani Walid, Misrata (مصراتة	)",0,"5A-DBO"
"Dec 22, 1997","","Fokker F28 Fellowship","Sylhet, Sylhet",0,"S2-ACJ"
"Dec 22, 1997","","Antonov AN-72","Angola, All Angola",11,"ER-ACF"
"Dec 21, 1997","","Beechcraft 100 King Air","Colorado Springs, Colorado",2,"N100BE"
"Dec 20, 1997","","Lockheed C-130 Hercules","Tanagra, Central Greece / Στερεά Ελλάδα",5,"750"
"Dec 20, 1997","Aerolineas California del Pacifico","Douglas C-47 Skytrain (DC-3)","Mexico, All Mexico",0,"XA-CUC"
"Dec 19, 1997","","Boeing 737-300","Palembang, South Sumatra",104,"9V-TRF"
"Dec 19, 1997","Big Bang Aviation","Swearingen SA226T Merlin","Front Range, Colorado",1,"N950TT"
"Dec 17, 1997","Ramaer Cargo","Ilyushin II-18","Johannesburg, Gauteng",0,"RA-75554"
"Dec 17, 1997","","Yakovlev Yak-42","Thessaloniki, Thessaly / Θεσσαλία",70,"UR-42334"
"Dec 16, 1997","","Canadair RegionalJet CRJ-100","Fredericton, New Brunswick",0,"C-FSKI"
"Dec 15, 1997","","Tupolev TU-154","Sharjah, Sharjah (الشارقةّ)",85,"EY-85281"
"Dec 12, 1997","Servicios y Transportes Aéreos Petroleros - STAP","Swearingen SA226 Metro II","La Variente, All Bolivia",10,"CP-1635"
"Dec 12, 1997","Yakima Theatres","Rockwell Aero Commander 690","Yakima, Washington",2,"N72VF"
"Dec 11, 1997","","Antonov AN-12","Naryan-Mar, Arkhangelsk oblast",8,"RA-12105"
"Dec 10, 1997","Spitfire Sales & Leasing","Beechcraft 100 King Air","Charlotte, North Carolina",1,"N30SA"
"Dec 9, 1997","Sowind Air","Embraer EMB-110 Bandeirante","Little Grand Rapids, Manitoba",4,"C-GVRO"
"Dec 7, 1997","","Fokker F27 Friendship","Saint Peter-La Villiaze, Channel Islands",0,"G-BNCY"
"Dec 6, 1997","","Antonov AN-124","Irkutsk, Irkutsk oblast",68,"RA-82005"
"Dec 4, 1997","","Beechcraft 99 Airliner","Webequie, Ontario",0,"C-GXBE"
"Nov 29, 1997","Dwyer Aircraft","Cessna 402","Spencer, Iowa",0,"N22NC"
"Nov 27, 1997","","Britten-Norman Islander","Sangafa-Siwo, Emae Island, All Vanuatu",0,"YJ-RV2"
"Nov 25, 1997","","Short 360","Billings, Montana",0,"N691A"
"Nov 24, 1997","Rollins Air","GAF Nomad N24","La Ceiba, Atlántida",0,"HR-AQY"
"Nov 19, 1997","Rollins Air","GAF Nomad N24","La Ceiba, Atlántida",0,"N244E"
"Nov 18, 1997","Cougar Air Cargo International","Douglas DC-8","Mwanza, Mwanza Region",0,"EL-WVD"
"Nov 18, 1997","S.K. Griessels & R.D. Makin Partnership","Cessna 402","Vilanculos, Inhambane",6,"ZS-JTD"
"Nov 17, 1997","","Canadair CL-415","Marseille, Bouches-du-Rhône",1,"F-ZBFQ"
"Nov 16, 1997","","Fokker F28 Fellowship","Lae, Morobe",0,"P2-ANH"
"Nov 13, 1997","A&H Aircraft Sales","Beechcraft 100 King Air","Jackson, Georgia",1,"N500ML"
"Nov 13, 1997","","Beechcraft 90 King Air","Wheeling, West Virginia",0,"N80GP"
"Nov 12, 1997","","Pilatus PC-6 (Porter & Turbo Porter)","Sankt Stephan, Bern",5,"V-630"
"Nov 9, 1997","","De Havilland DHC-6 Twin Otter","Simbai, Madang",0,"VH-HPY"
"Nov 9, 1997","Air Saint Barth","Britten-Norman Trislander","Bahamas, All Bahamas",0,"F-OGOR"
"Nov 8, 1997","","Cessna 208 Caravan","Barrow, Alaska",8,"N750GC"
"Nov 8, 1997","Aviaobshchemash","Antonov AN-12","Bryansk, Bryansk oblast",0,"RA-11327"
"Nov 7, 1997","McNeely Charter Service","Douglas DC-3","Memphis, Tennessee",0,"N59316"
"Nov 6, 1997","","Avro 748","Pokhara, Gandaki",0,"9N-ACM"
"Nov 2, 1997","","Cessna 402","Fort Lauderdale-Hollywood, Florida",0,"N69312"
"Nov 1, 1997","Congo Airlines","Boeing 707","Kinshasa, Kinshasa City Province",0,"9Q-CKK"
"Nov 1, 1997","Regional Skydiving School of Picardie","Pilatus PC-6 (Porter & Turbo Porter)","Laon, Aisne",9,"F-GHXS"
"Nov 1, 1997","Air Zanzibar","Piper PA-31-350 Navajo Chieftain","Tanzania, All Tanzania",1,"5H-AZM"
"Oct 31, 1997","DM Construtora de Obras","Cessna 500 Citation","Canela, Rio Grande do Sul",3,"PT-LQG"
"Oct 29, 1997","","Yakovlev Yak-40","Jalalabad, Nangarhar",2,"YA-KAE"
"Oct 28, 1997","","Fairchild-Hiller FH-227","Ambato, Tungurahua",0,"HC-BUF"
"Oct 28, 1997","Porter Adventures","Pilatus PC-6 (Porter & Turbo Porter)","Texas, Texas",0,"N19TX"
"Oct 27, 1997","Covington Foods","Cessna 402","Tampa, Florida",3,"N69293"
"Oct 18, 1997","Transportes Aéreos Meridionais","Cessna 208 Caravan","São Paulo, São Paulo",0,"PT-OGC"
"Oct 15, 1997","","Douglas DC-9","Mexico City, Federal District of Mexico City",0,"XA-DEJ"
"Oct 13, 1997","","Avro 748","Yogyakarta, Special Region of Yogyakarta",0,"PK-IHO"
"Oct 10, 1997","","Douglas DC-9","Nuevo Berlin, Río Negro",74,"LV-WEG"
"Oct 10, 1997","","Beechcraft 200 Super King Air","Banjul, Banjul City District",9,"EC-ERQ"
"Oct 10, 1997","","Lockheed C-130 Hercules","Taipei, Taipei City (臺北市)",8,"1310"
"Oct 8, 1997","","Cessna 208 Caravan","Arizona, Arizona",9,"N12022"
"Oct 6, 1997","May Air X-Press","Beechcraft G18","Lubbock, Texas",0,"N9312Y"
"Oct 2, 1997","May Air X-Press","Beechcraft E18","Lake Elmo, Minnesota",0,"N916TM"
"Oct 1, 1997","Brazilian Government","Embraer EMB-121 Xingu","Chapecó, Santa Catarina",7,"PP-EHJ"
"Sep 29, 1997","","De Havilland DHC-2 Beaver","Ketchikan, Alaska",1,"N4787C"
"Sep 26, 1997","","Airbus A300-600","Medan, North Sumatra",234,"PK-GAI"
"Sep 26, 1997","","Let 410UVP","Khabarovsk, Khabarovsk Krai",0,"RA-67474"
"Sep 26, 1997","","Cessna 207 Skywagon/Stationair","Alaska, Alaska",1,"N9984M"
"Sep 23, 1997","","Lockheed P-3 Orion","Chania, Crete / Κρήτη",0,"157320"
"Sep 23, 1997","Boniair","PZL-Mielec AN-2","Macedonia, All Macedonia",0,"Z3-BGI"
"Sep 13, 1997","","Tupolev TU-154","Atlantic Ocean, All World",24,"11+02"
"Sep 13, 1997","","Lockheed C-141 Starlifter","Atlantic Ocean, All World",9,"65-9405"
"Sep 12, 1997","TMK Air Commuter - Société de Transports et Messageries au Kivu","De Havilland DHC-6 Twin Otter","Uvira, Sud-Kivu",22,"9Q-CBO"
"Sep 12, 1997","","Dornier DO228","Nigeria, All Nigeria",0,"NAF034"
"Sep 12, 1997","Manan Air Services","Piper PA-31-350 Navajo Chieftain","New Brunswick, New Brunswick",0,"C-FZVC"
"Sep 6, 1997","Merpati Intan","Dornier DO228","Miri, Sarawak",10,"9M-MIA"
"Sep 6, 1997","","Boeing 737-200","Najran, Najran (نجران‎)",0,"HZ-AGM"
"Sep 6, 1997","","Rockwell Aero Commander 500","Ketchikan, Alaska",2,"N543AN"
"Sep 3, 1997","","Tupolev TU-134","Phnom Penh, Phnom Penh",65,"VN-A120"
"Sep 2, 1997","North American Plastics","Learjet 31","Aberdeen-Amory, Mississippi",0,"N71JC"
"Sep 2, 1997","","Boeing KC-135 Stratotanker","Pope AFB (Fayetteville), North Carolina",0,"63-8053"
"Sep 1, 1997","","SIAI-Marchetti SF.600TP Canguro","Philippines, All Philippines",1,"RP-C1298"
"Aug 30, 1997","","Fletcher FU-24","New Zealand, All New Zealand",0,"ZK-DIL"
"Aug 29, 1997","","Pilatus PC-6 (Porter & Turbo Porter)","Puerto Inírida, Guainía",9,"FAC-1115"
"Aug 28, 1997","","Beechcraft 90 King Air","Avignon, Vaucluse",0,"F-BNMC"
"Aug 26, 1997","","Pilatus PC-6 (Porter & Turbo Porter)","Gillette, Wyoming",0,"N354F"
"Aug 22, 1997","","Boeing 727-200","Galapagos Islands, Galápagos",0,"HC-BVU"
"Aug 21, 1997","Afghan Antitaliban Alliance","Antonov AN-32","Bamyan, Bamyan",13,"-"
"Aug 19, 1997","","Boeing 727-100","Lukapa, Lunda Norte",0,"D2-TJC"
"Aug 19, 1997","","Swearingen SA226 Metro II","Des Moines, Iowa",0,"N224AM"
"Aug 18, 1997","TANTK - Taganrog ANTK","Beriev Be-103","Moscow, Moscow oblast",1,"RA-37019"
"Aug 15, 1997","Riana Taxi Aéreo","Cessna 550 Citation II","Criciuma, Santa Catarina",2,"PT-LML"
"Aug 14, 1997","Colvin Air Charter","Beechcraft 200 Super King Air","Dalton, Georgia",1,"N74EJ"
"Aug 14, 1997","PT Benua Indah","Cessna 402","Indonesia, All Indonesia",0,"PK-BBI"
"Aug 13, 1997","","Beechcraft 1900C","Seattle, Washington",0,"N3172A"
"Aug 12, 1997","","Boeing 727-200","Thessaloniki, Thessaly / Θεσσαλία",0,"SX-CBI"
"Aug 12, 1997","South Texas Aircraft","Beechcraft 90 King Air","Alice, Texas",4,"N41VC"
"Aug 10, 1997","","Dornier DO228","Matsu Island, Lienchiang County (連江縣)",16,"B-12256"
"Aug 7, 1997","","Douglas DC-8","Miami, Florida",5,"N27UA"
"Aug 7, 1997","Aero Biekes","Britten-Norman Islander","Fajardo, All Puerto Rico",0,"N1202S"
"Aug 6, 1997","","Boeing 747-300","Agana, All Guam Island",228,"HL7468"
"Aug 3, 1997","","Boeing 737-200","Douala, Littoral",0,"TU-TAV"
"Aug 3, 1997","","Cessna 421 Golden Eagle","United Kingdom, All United Kingdom",3,"G-BKNA"
"Aug 1, 1997","Airborne Fire Attack of California","Consolidated PBY-5A Catalina","San Diego, California",0,"N322FA"
"Jul 31, 1997","","McDonnell Douglas MD-11","Newark, New Jersey",0,"N611FE"
"Jul 30, 1997","","ATR42-500","Florence, Tuscany",1,"F-GPYE"
"Jul 29, 1997","","BAc 111","Calabar, Cross River",1,"5N-BAA"
"Jul 23, 1997","","Embraer EMB-110 Bandeirante","Delfim Moreira, Minas Gerais",4,"2310"
"Jul 21, 1997","","Learjet 31","Ranong, Ranong (ระนอง)",2,"9V-ATD"
"Jul 18, 1997","Goroka Air Services","De Havilland DHC-6 Twin Otter","Goroka, Eastern Highlands",2,"P2-MMU"
"Jul 17, 1997","","Fokker F27 Friendship","Bandung, West Java",28,"PK-YPM"
"Jul 15, 1997","Orion Aircraft Leasing","Learjet 35","Avon Park, Florida",0,"N19LH"
"Jul 13, 1997","","PZL-Mielec AN-2","Germany, All Germany",0,"OK-JII"
"Jul 11, 1997","","Antonov AN-24","Santiago de Cuba, Santiago de Cuba",44,"CU-T1262"
"Jul 10, 1997","Airways International","Cessna 402","Great Harbour Cay, Berry Islands",0,"N2717Y"
"Jul 9, 1997","","Casa 212 Aviocar","Ambon, Maluku",3,"PK-NCS"
"Jul 8, 1997","Aeronimbus","Rockwell Aero Commander 500","Córdoba, Córdoba",0,"LV-IYO"
"Jul 5, 1997","Alaska Bush Carrier","De Havilland DHC-2 Beaver","Skwentna, Alaska",4,"N5164G"
"Jul 3, 1997","Elbee Airlines","Fokker F27 Friendship","Mumbai, Maharashtra",2,"VT-SSA"
"Jul 3, 1997","Riana Taxi Aéreo","Cessna 500 Citation","Rio de Janeiro, Rio de Janeiro",0,"PT-ILJ"
"Jun 30, 1997","Silver Express Company","Convair CV-240","San Juan, All Puerto Rico",0,"N344MM"
"Jun 28, 1997","Hondu Carib Cargo","Aviation Traders ATL-98 Carvair","Venetie, Alaska",0,"N103"
"Jun 27, 1997","Olson Air Service","Cessna 207 Skywagon/Stationair","Nome, Alaska",2,"N207SP"
"Jun 25, 1997","","Boeing 727-100","Bogotá, Bogotá Capital District",0,"HK-1717"
"Jun 25, 1997","","Beechcraft D18","Willow, Alaska",0,"N765D"
"Jun 20, 1997","San-Lo Aerial Surveys","Piper PA-31-350 Navajo Chieftain","San Diego, California",3,"N266MM"
"Jun 17, 1997","Tula Air Enterprise - Tulskoe Aviapredpriatie","PZL-Mielec AN-2","Tula, Tula oblast",4,"RA-84700"
"Jun 16, 1997","Yessentuki Air Sport Club","PZL-Mielec AN-2","Russia, All Russia",0,"RA-02829"
"Jun 13, 1997","North American Airlines","Swearingen SA226 Metro II","Ottawa, Ontario",0,"C-FEPW"
"Jun 10, 1997","","Harbin Yunsunji Y-12","Mandalgov, Dundgovi",7,"JU-1020"
"Jun 7, 1997","","Boeing 727-200","Newark, New Jersey",0,"N571PE"
"Jun 7, 1997","Disapel Eletrodomésticos","Rockwell Grand Commander 690","Joinville, Santa Catarina",5,"PT-OFG"
"Jun 7, 1997","","BAc 111","Stockholm, Uppland",0,"YR-BCM"
"Jun 6, 1997","Bazair","Vickers Viscount","Bunia, Orientale",23,"9Q-CWL"
"Jun 5, 1997","Bahia Taxi Aéreo - BATA","Embraer EMB-820 Navajo","Jacobina, Bahia",4,"PT-ENI"
"Jun 1, 1997","Casper Air Service","Cessna 402","Rawlins, Wyoming",0,"N1233P"
"May 29, 1997","","De Havilland DHC-2 Beaver","Saskatoon, Saskatchewan",0,"C-FOCS"
"May 28, 1997","","Beechcraft 200 Super King Air","Luanda, Luanda",0,"D2-ECL"
